,Unnamed: 0,Published_At,Comment_ID,Comment,Replies,Likes,all_eng
7972,12484,['2024-07-05T17:30:40Z'],['UgylF4oTjqaOJjBvpPt4AaABAg'],This is to confirm I liked this not because of any reason but only our national cricket team. The men in blue 💙🇮🇳,[0],[0],this is to confirm i liked this not because of any reason but only our national cricket team the men in blue
7973,12486,['2024-07-05T17:30:35Z'],['UgwBrvVLi1rBCRPVPlZ4AaABAg'],Thankyou for giving them respect they deserve 🙏🏻,[0],[0],thankyou for giving them respect they deserve
7974,12487,['2024-07-05T17:30:27Z'],['UgzIRboSXyeWUrXFwsh4AaABAg'],Bumrah nodding like obedient student😂,[0],[0],bumrah nodding like obedient student
7975,12488,['2024-07-05T17:30:23Z'],['UgzV6mnaaJ2L5GNFUKp4AaABAg'],English subtitles please😢😢😢,[0],[1],english subtitles please
7976,12489,['2024-07-05T17:30:17Z'],['Ugy-y0t8fTROvpiZXeN4AaABAg'],"No importance given to shivam dubey , sanju samson , amd chahal",[0],[0],no importance given to shivam dubey sanju samson amd chahal
7977,12490,['2024-07-05T17:30:00Z'],['UgxmskBYXJPtPylssVF4AaABAg'],Aur  khalistanio arshdeep ko dekh kar gand fatt rha hai,[0],[0],aur khalistanio arshdeep ko dekh kar gand fatt rha hai
7978,12494,['2024-07-05T17:29:30Z'],['Ugy7r0LCysdaikfPCkp4AaABAg'],Feeling so so so Proud..Thank you Team India for this❤,[0],[4],feeling so so so proudthank you team india for this
7979,12495,['2024-07-05T17:29:14Z'],['UgyP0YCMKYPaMsfm14V4AaABAg'],Ek baar pappu se ja kar puchna ki ek over me kitne ball hote hai 😅,[0],[3],ek baar pappu se ja kar puchna ki ek over me kitne ball hote hai
7980,12498,['2024-07-05T17:28:54Z'],['Ugxso4Z6RelZToRX-WR4AaABAg'],Thank You very Much PM Sir for Honouring Our Players,[0],[0],thank you very much pm sir for honouring our players
7982,12500,['2024-07-05T17:28:47Z'],['Ugzx2iRJmwWD_cCfDMl4AaABAg'],Thanks PM,[0],[0],thanks pm
7983,12502,['2024-07-05T17:28:35Z'],['Ugxyj3LAFnOCwjIrZOx4AaABAg'],India is very emotional country ❤,[0],[0],india is very emotional country
7985,12506,['2024-07-05T17:28:14Z'],['UgwZWIhDRh76jOPc__p4AaABAg'],चमचों के Paw Paw पप्पु खान कभी भी हमारे मोदी जी की जगह ले ही नहीं सकता🗿।,[0],[1],paw paw
7986,12508,['2024-07-05T17:28:01Z'],['UgzN-Q9zcMb88JXGtvJ4AaABAg'],SIR VERY GOOD SERVICE 🌹🌹🙏🌹🌹 MAHARAJA POPCORN SHOP HYDERABAD,[0],[1],sir very good service maharaja popcorn shop hyderabad
7987,12509,['2024-07-05T17:27:55Z'],['UgygNFojqacu_EQs-FB4AaABAg'],"With Modi, it is strongly to be changed the way people look at a Prime Minister. This human close connection is what makes the difference. Win or loss is part of the game, but the human emotions and connections are universal, and Modi touches those emotions as a busy Prime Minister.",[0],[0],with modi it is strongly to be changed the way people look at a prime minister this human close connection is what makes the difference win or loss is part of the game but the human emotions and connections are universal and modi touches those emotions as a busy prime minister
